,name
211,NQ US Large Cap Oil Equipment & Services
212,NQ US Large Cap Integrated Oil & Gas
213,NQ US Large Cap Exploration & Production
214,NQ US Large Cap Oil & Gas Producers
215,NQ US Large Cap Oil & Gas
216,NQ Chaikin Power US Small Cap
217,NQ US Benchmark Telecommunications Equipment
218,NQ US Benchmark Semiconductors
219,NQ US Benchmark Computer Hardware
220,NQ US Benchmark Technology Hardware & Equipment
221,NQ US Benchmark Internet
222,NQ US Mid Cap Health Care
223,NQ US Large Cap Apparel Retailers
224,NQ US Large Cap Specialty Retailers
225,NQ US Mid Cap Aerospace
226,NQ US Mid Cap Industrial G&S
227,NQ US Mid Cap Building Materials & Fixtures
228,NQ US Mid Cap Construct & Mater
229,NQ US Mid Cap Industrials
230,NQ US Mid Cap Iron and Steel
231,NQ US Mid Cap General Industrials
232,NQ US Mid Cap Basic Resources
233,NQ US Mid Cap Commodity Chemicals
234,NQ US Mid Cap Chemicals
235,NQ US Mid Cap Basic Materials
236,NQ US Mid Cap Oil Equipment & Services
237,NQ US Mid Cap Exploration & Production
238,NQ US Mid Cap Oil & Gas Producers
239,NQ US Mid Cap Specialty Chemicals
240,NQ US Mid Cap Containers & Packaging
241,NQ US Mid Cap Electronic & Electrical Equipment
242,NQ US Mid Cap Electrical Components & Equipment
243,NQ US Mid Cap Leisure Goods
244,NQ US Mid Cap Personal & Household Goods
245,NQ US Mid Cap Food Products
246,NQ US Mid Cap Food Producers
247,NQ US Mid Cap Food & Beverage
248,NQ US Mid Cap Automobiles & Parts
249,NQ US Mid Cap Consumer Goods
250,NQ US Mid Cap Financial Administration
251,NQ US Mid Cap Business Support Services
252,NQ US Mid Cap Support Services
253,NQ US Md Cap Ind Transportation
254,NQ US Mid Cap Industrial Machinery
255,NQ US Mid Cap Commercial Vehicles & Trucks
256,NQ US Mid Cap Industrial Engineering
257,NQ US Mid Cap Electronic Equipment
258,NQ US Mid Cap Oil & Gas
259,NQ US Large Cap Value
260,NQ US Large Cap Growth
261,NQ US Large Cap Telecommunications Equipment
262,NQ US Large Cap Nonlife Insurance
263,NQ US Large Cap Insurance
264,NQ US Large Cap Banks
265,NQ US Large Cap Financials
266,NQ US Large Cap Multiutilities
267,"NQ US Large Cap Gas, Water & Multiutilities"
268,NQ US Large Cap Conventional Electricity
269,NQ US Large Cap Electricity
270,NQ US Large Cap Utilities
271,NQ US Large Cap Fixed Line Telecommunications
272,NQ US Large Cap Telecommunications
273,NQ US Large Cap Restaurants & Bars
274,NQ US Large Cap Travel& Leisure
275,NQ US Large Cap Broadcasting & Entertainment
276,NQ US Large Cap Media
277,NQ US Large Cap Property & Casualty Insurance
278,NQ US Large Cap Broadline Retailers
279,NQ US Large Cap Life Insurance
280,NQ US Large Cap Real Estate Investment Trusts
281,NQ US Large Cap Semiconductors
282,NQ US Large Cap Computer Hardware
283,NQ US Large Cap Technology Hardware & Equipment
284,NQ US Large Cap Software
285,NQ US Large Cap Computer Services
286,NQ US Large Cap Software & Computer Services
287,NQ US Large Cap Technology
288,NQ US Large Cap Investment Services
289,NQ US Large Cap Consumer Finance
290,NQ US Large Cap Asset Managers
291,NQ US Large Cap Financial Services Sector
292,NQ US Lr Cap Financial Services
293,NQ US Large Cap Specialty REITs
294,NQ US Large Cap Retail REITs
295,NQ US Large Cap Industrial and Office REITs
296,NQ US Large Cap Real Estate
297,NQ US Small Cap Mobile Telecommunications
298,Low Volatility Short Only TR
299,NQ US Small Cap Electricity
300,DJ Asset Managers
301,DJ Auto Parts Makers
302,DJ Automobiles
303,DJ Automobiles & Parts
304,DJ Banks
305,DJ Basic Resources
306,DJ Apparel Retailers
307,DJ Beverages
308,DJ Brewers
309,DJ Broadcasting & Entertainment
310,DJ Broadline Retailers
311,DJ Building Materials & Fixtures
312,DJ Business Support Services
313,DJ Business Training & Employment Agencies
314,DJ Biotechnology
315,DJ Aluminum
316,DJ Airlines
317,DJ Aerospace & Defense
318,ARCA Mini-Natural Gas
319,ARCA Mini-Oil
320,ARCA Mini-Pharmaceutical
321,ARCA Mini-Securities
322,ARCA Natural Gas
323,ARCA Networking
324,ARCA North American Telecommunications
325,ARCA Oil
326,ARCA Pharmaceutical
327,ARCA Securities Broker
328,ARCA Steel
329,ARCA Technology 100
330,ARCA Telecom
331,ARCA Tobacco
332,DJ Aerospace
333,DJ Chemicals
334,DJ Clothing & Accessories
335,DJ Coal
336,DJ Commercial Vehicles & Trucks
337,DJ Equity All REIT
338,DJ Exploration & Production
339,DJ Financial Administration
340,DJ Financial Services
341,DJ Financial Services
342,DJ Financial Services Composite
343,DJ Food & Beverage Makers
344,DJ Food & Drug Retailers
345,DJ Food Producers
346,DJ Food Product Makers
347,DJ Food Retail & Wholesale
348,DJ Footwear
349,DJ Forestry & Paper
350,DJ Full Line Insurance
351,DJ Furnishings
352,DJ Electronic Equipment
353,ARCA Mini-Biotechnology
354,DJ Electronic & Electrical Equipment
355,DJ Electrical Components & Equipment
356,DJ Commodity Chemicals
357,DJ Composite
358,DJ Computer Hardware
359,DJ Computer Services
360,DJ Construction & Materials
361,DJ Consumer Finance
362,DJ Containers & Packaging
363,DJ Conventional Electricity
364,DJ Defense
365,DJ Delivery Services
366,DJ Distillers & Vintners
367,DJ Diversified Industrials
368,DJ Diversified REITs
369,DJ Drug Retailers
370,DJ Durable Household Products
371,DJ Electricity
372,DJ Gambling
373,ARCA Junior Gold BUGS
374,ARCA Gold Miners
375,NQ Industrial
376,NQ Insurance
377,NQ Internet
378,NQ Other Finance
379,NQ Telecommunications
380,NQ Transportation
381,NASDAQ Health Care
382,NYSE Energy
383,NYSE Healthcare
384,NYSE TMT
385,PHLX Semiconductor
386,Russell 1000 Financial Services
387,S&P 500 Consumer Discretionary
388,S&P 500 Consumer Staples
389,NYSE Financials
390,NQ Financial 100
391,NQ Computer
392,NQ Biotechnology
393,Dow 30
394,Nasdaq 100
395,Nasdaq
396,S&P 500
397,DJ Basic Materials
398,DJ Consumer Goods
399,DJ Consumer Services
400,DJ Financials
401,DJ Health Care
402,DJ Industrials
403,DJ Oil&Gas
404,DJ Technology
405,DJ Telecom
406,DJ Utilities
407,NQ Bank
408,S&P 500 Energy
409,S&P 500 Financials
410,S&P 500 Health Care
411,S&P 500 Industrials
412,Braclays Capital Commodities
413,Canadian Crude Excess Return
414,Canadian Crude Reference Price
415,ISE Natural Gas TR
416,ARCA Airline
417,ARCA Biotechnology
418,ARCA Computer Hardware
419,ARCA Computer Technology
420,ARCA Defense
421,ARCA Disk Drive
422,ARCA Electric Power & Natural Gas Infrastructure
423,ARCA Environmental Svcs
424,ARCA Equal Weighted Pharmaceutical
425,ARCA Global Airline
426,ARCA Gold BUGS
427,Bloomberg Corn Subindex TR
428,ARCA Institutional
429,Bloomberg Brent Crude Subindex TR
430,10-year US Treasury VIX
431,S&P 500 Information Technology
432,S&P 500 Materials
433,S&P 500 Real Estate
434,S&P 500 Telecom Services
435,S&P 500 Utilities
436,S&P 500 VIX
437,DJ Composite
438,DJ Transportation
439,DJ Utility
440,NYSE AMEX Composite
441,NYSE Composite
442,OTCM ADR
443,OTCM QX ADR 30
444,S&P 100
445,SmallCap 2000
446,Barclays WTI Crude Oil Pure Beta TR
447,DJ Gas Distribution
448,DJ Gas Water & Multiutilities
449,DJ General Industrials
450,FTSE USA Large Cap Super Liquid Net Of Tax
451,FTSE RAFI US Low Volatility
452,FTSE RAFI US 3000 QSR
453,FTSE RAFI US 1500 Mid Small QSR
454,FTSE RAFI US 1000 QSR
455,FTSE EPRA/NAREIT US Dividend+
456,FTSE USA Super Liquid
457,WisdomTree US Equity Income iNAV
458,NQ 100 Settlement
459,NQ Composite Settlement
460,NQ Premarket
461,NQ After Market
462,NQ US Small Cap Value
463,NQ US Small Cap Growth
464,WisdomTree US SmallCap Dividend iNAV
465,FTSE Renaissance US IPO
466,FTSE Renaissance US IPO Investable
467,FTSE USA Large Cap Super Liquid 2x Daily Leveraged
468,Stoxx USA 50  Daily EUR
469,Stoxx USA 50 Daily EUR
470,Stoxx USA 50 Daily 4 EUR
471,Federal Funds Composite Interest Rate
472,MSCI US Small Gross
473,MSCI USA Quality GR
474,FTSE RAFI US 1000 Hedged In CAD
475,DJ U.S. Select REIT TR
476,DJ U.S. Select Dividend TR
477,DJ U.S. Select Dividend Net TR
478,FTSE USA Large Cap Super Liquid 3x Daily Leveraged
479,FTSE USA Large Cap Super Liquid 3x Daily Short
480,FTSE USA Large Cap Super Liquid 2x Daily Short
481,FTSE USA Large Cap Super Liquid Daily Short
482,FTSE USA Large Cap Super Liquid 4x Daily Leveraged
483,NQ US Small Cap Telecommunications Equipment
484,NQ US Small Cap Semiconductors
485,NQ US Small Cap Computer Hardware
486,NQ US Small Cap Technology Hardware & Equipment
487,NQ US Small Cap Real Estate Investment Trusts
488,NQ US Small Cap Real Estate Services
489,NQ US Small Cap Real Estate Holding & Development
490,NQ US Small Cap Real Estate Investment & Services
491,NQ US Small Cap Real Estate
492,NQ US Small Cap Life Insurance
493,NQ US Small Cap Reinsurance
494,NQ US Small Cap Property & Casualty Insurance
495,NQ US Small Cap Nonlife Insurance
496,NQ US Small Cap Insurance
497,NQ US Small Cap Banks
498,NQ US Small Cap Financials
499,NQ US Small Cap Water
500,"NQ US Small Cap Gas, Water & Multiutilities"
501,NQ US Small Cap Conventional Electricity
502,NQ US Small Cap Industrial & Office REITs
503,Stoxx USA 50 Risk 10% RV USD
504,NQ US Small Cap Retail REITs
505,NQ US Small Cap Diversified REITs
506,NQ US Small Cap Software
507,NQ US Small Cap Internet
508,NQ US Small Cap Computer Services
509,NQ US Small Cap Software & Computer Services
510,NQ US Small Cap Technology
511,NQ US Small Cap Mortgage Finance
512,NQ US Small Cap Investment Services
513,NQ US Small Cap Specialty Finance
514,NQ US Small Cap Consumer Finance
515,NQ US Small Cap Asset Managers
516,NQ US Small Cap Financial Services Sector
517,NQ US Small Cap Financial Services
518,NQ US Small Cap Hotel & Lodging REITs
519,NQ US Small Cap Mortgage REITs
520,NQ US Small Cap Specialty REITs
521,NQ US Small Cap Residential REITs
522,Stoxx USA 50 Risk 10% RV EUR
523,Stoxx USA 50 Risk 15% RV USD
524,Stoxx USA 50 Risk 15% RV EUR
525,Merrill Lynch MOVE Index 1 Month
526,FTSE USA Core Infrastructure Capped Net Tax
527,FTSE US Risk Premium Dividend Yield Short only TR
528,FTSE US Risk Premium Dividend Yield Long only TR
529,Forward Earnings Yield Short only TR
530,Dividend Yield Long only TR
531,Seasonality Short only TR
532,FTSE US Risk Premium Dividend Yield Long only Pric
533,Cash flow Yield Long only Net Tax
534,Low Volatility Long Only TR
535,Cash flow Yield short only TR
536,FTSE US Risk Premium Dividend Yield Short only Pri
537,Cash flow/Invested Capital short only TR
538,Forward Dividend Yield Short only TR
539,Scaled NOA Differential Long only TR
540,Merrill Lynch MOVE Index 3 Month
541,Cash flow/Invested Capital Trend long only TR
542,Merrill Lynch MOVE Index 6 Month
543,DJ Industrial Suppliers
544,DJ General Retailers
545,DJ Gold Mining
546,DJ Health Care Equipment & Services
547,DJ Health Care Providers
548,DJ Heavy Construction
549,DJ Home Construction
550,DJ Home Improvement Retailers
551,DJ Hotel & Lodging REITs
552,DJ Hotels
553,DJ Household Goods & Home Construction
554,DJ Industrial & Office REITs
555,DJ Industrial Engineering
556,DJ Industrial Goods & Services
557,DJ Industrial Machinery
558,DJ Industrial Metals & Mining
559,DJ Industrial Transportation
560,NQ US Small Cap Utilities
561,Forward Dividend Yield Long only TR
562,ROE short only TR
563,S&P Midcap 400 Growth Total Return
564,S&P 500 Growth Total Return
565,MSCI United States Broad Gross
566,S&P 500 Net TR
567,CEMP US Small Cap 500 Vol Weighted TR
568,CEMP US Small Cap 500 Vol Weighted
569,CEMP US Large Cap 500 Vol Weighted TR
570,CEMP US Large Cap 500 Vol Weighted
571,CEMP US Equity Hedge Vol Weighted TR
572,CEMP US Large Cap High Dividend
573,CEMP US Large Cap High Dividend 100 Vol Weighted
574,Stoxx USA 50 Risk 5% RV EUR
575,Stoxx USA 50 Risk 5% RV USD
576,Stoxx USA 50 Risk 20% RV EUR
577,Stoxx USA 50 Risk 20% RV USD
578,S&P Midcap 400 Value Total Return
579,Price Momentum long only TR
580,S&P SmallCap 600 Growth Total Return
581,S&P 400 Total Return
582,Cash flow/Invested Capital Trend short only TR
583,Cash flow Yield Long only TR
584,Extended Price Momentum Long only TR
585,Size Long only TR
586,Price Momentum short only TR
587,Cash flow/Invested Capital long only TR
588,Scaled NOA Differential short only TR
589,Dividend Yield Short only TR
590,NQ US Benchmark Real Estate Holding & Development
591,Extended Price Momentum Short only TR
592,Size Short only TR
593,Forward Earnings Yield Long only TR
594,Seasonality Long only TR
595,ROE Long only TR
596,LadderRite 0-10year USD Corporate Bond
597,S&P SmallCap 600 Value Total Return
598,NQ US Benchmark Real Estate Investment & Services
599,MSCI US Gross
600,NQ US Benchmark Reinsurance
601,CBOE Energy Sector Etf Volitlity
602,CBOE Equity VIX on Amazon
603,CBOE Equity VIX on Apple
604,CBOE Equity VIX on Goldman Sachs
605,CBOE Equity VIX on Google
606,Sabrient Global Balanced Income
607,Sabrient Global Balanced Growth
608,S&P Smallcap 600 Value
609,S&P SmallCap 600 Pure Value
610,CBOE Emerging Markets Etf Volitlity
611,S&P SmallCap 600 Pure Growth
612,S&P Midcap 400 Value
613,S&P MidCap 400 Pure Value
614,S&P MidCap 400 Pure Growth
615,S&P Midcap 400 Growth
616,S&P Midcap 400
617,S&P High Yield Dividend Aristocrats
618,S&P GSCI Natural Gas ER
619,S&P GSCI Crude Oil ER
620,SP GSCI 3Month Forward Capped Sector EW
621,S&P Smallcap 600 Growth
622,S&P Goldman Sachs Commodity
623,CBOE Dyn Short Vix Fut
624,CBOE Crude Oil Volatility
625,ARCA Hong Kong Option
626,ARCA International Market
627,ARCA Japan
628,ARCA Major Markets
629,ARCA Mexico
630,Total Return Fed Funds Investable
631,Barron’s 400
632,Barron’s 400 TR
633,Gemini Bitcoin
634,CBOE Dyn Long Vix Fut
635,Bitcoin Real-Time
636,SP500 VIX Futures Enhanced Roll TR
637,SmallCap 2000 NR
638,CBOE Binary Options S&P 500
639,CBOE Binary Options Volatility
640,SGI Smart WTI Long Invest
641,CBOE Brazil Etf Volatility
642,CBOE Capped Vix Premium Strateg
643,CBOE China Etf Volatility
644,CBOE Citigroup Bxm Pistons Net
645,Brent Oil x5 Leveraged
646,S&P Composite 1500
647,S&P Completion
648,S&P 600 Small Cap
649,CBOE NASDAQ 100 Settle
650,SP 500 CAD Hdg TR
651,SP 500 Buyback NTR
652,S&P 1000
653,Russell Midcap TR
654,Russell 3000 TR
655,Russell 1000
656,Reality Shares Drone PR
657,Reality Shares Drone NTR
658,CBOE Ms Strategic Total Return
659,Reality Shares Drone GTR
660,PHLX Euro
661,PHLX Canadian Dollar
662,PHLX Australian Dollar
663,Philadelphia Gold/Silver
664,OTCM ADR TR
665,NYSE World Leaders Mini Value
666,NYSE World Leaders
667,NYSE TOP US 100
668,NYSE TOP International 100
669,PHLX Swiss Franc
670,CBOE Ms 8% Targeted Income Stra
671,CBOE Morgan Stanley U.S. Strate
672,CBOE Mid Term Volatility
673,S&P 600
674,S&P 500 Vix Short Term Futures ER
675,S&P 500 Value TR
676,S&P500 Pure Value
677,S&P500 Pure Growth
678,SP 500 Minimum Volatility Net TR
679,SP 500 Low Volatility TR
680,S&P500 Equal Weighted
681,CBOE Equity VIX on Ibm
682,SP 500 Dividends Aristocrats TR
683,S&P 500 Daily Hedged EUR Net TR
684,CBOE Euro Currency Volatility
685,CBOE Far-Term Vix
686,CBOE Gold Miners Etf Volatility
687,CBOE Gold Volatitity
688,CBOE Jumbo Dj Volatility Ask
689,CBOE Jumbo Dj Volatility Bid
690,CBOE Large Cap Over Small Cap S
691,CBOE Low Volatility
692,CBOE Market Volatility Spx Bid
693,CBOE Market Volatility Spx Offe
694,ARCA Hong Kong 30
695,ARCA China
696,US Dollar Index
697,AMEX TRIN
698,PHLX Gold Silver Settlement
699,PHLX Gold Silver TR
700,PHLX Housing
701,PHLX Housing Settlement
702,PHLX Housing TR
703,PHLX Oil Service
704,PHLX Semiconductor Settlement
705,PHLX Semiconductor TR
706,PHLX Utility
707,NYSE Technology
708,PHLX Utility Settlement
709,S&P 400 Consumer Discretionary
710,S&P 400 Consumer Staples
711,S&P 400 Energy
712,S&P 400 Financials
713,S&P 400 Health Care
714,S&P 400 Industrials
715,S&P 400 Information Technology
716,S&P 400 Materials
717,S&P 400 Telecommunication Services
718,PHLX Utility TR
719,NYSE Market Composite Technology
720,NYSE Market Composite Natural Resources
721,NYSE Market Composite Industrial
722,NQ OMX Natural Resources
723,NQ OMX Natural Resources TR
724,NQ OMX Pollution Mitigation
725,NQ OMX Pollution Mitigation TR
726,NQ OMX Recycling
727,NQ OMX Recycling TR
728,NQ OMX Renewable Energy Generation
729,NQ OMX Renewable Energy Generation TR
730,NQ OMX Smart Grid
731,NQ OMX Smart Grid TR
732,NQ OMX Solar
733,NQ OMX Solar Total Return
734,NQ OMX US Water
735,NQ OMX US Water TR
736,NQ OMX Water
737,NQ OMX Water TR
738,NQ OMX Wind
739,NQ OMX Wind TR
740,NYSE Arca Gold Miners GTR
741,NYSE Market Composite Financial
742,NYSE Market Composite Healthcare
743,S&P 400 Utilities
744,NYSE Tick Index
745,S&P 600 Consumer Discretionary
746,S&P 600 Energy
747,S&P Computer Hardware
748,S&P Health Care Equipment
749,S&P Health Care Services
750,S&P Homebuilders
751,S&P Industrials Composite
752,S&P Metals & Mining
753,S&P Oil & Gas Equipment & Services
754,S&P Oil & Gas Exploration & Production
755,S&P Pharmaceuticals
756,Wilder Hill New Energy Global
757,S&P Retail Select Industry
758,S&P Telecom Select Industry
759,S&P Transportation SI
760,Technology Select Sector NTR
761,1/100 Dow Jones Industrial Average
762,Alerian MLP EW
763,Alerian MLP EW TR
764,Alerian MLP Infrastructure TR
765,AMEX Japan
766,AMEX Mexico
767,S&P Semiconductors
768,Wilshire 4500 Completion
769,Wilshire 5000 Total Market Full Cap
770,Wisdom Tree Earnings
771,S&P 600 Financials
772,S&P 600 Health Care
773,S&P 600 Industrials
774,S&P 600 Information Technology
775,S&P 600 Materials
776,S&P 600 Telecommunication Services
777,S&P 600 Utilities
778,S&P Aerospace & Defense
779,S&P Biotech Select Industry
780,S&P Composite 1500 Consumer Discretionary
781,S&P Composite 1500 Consumer Staples
782,S&P Composite 1500 Energy
783,S&P Composite 1500 Financials
784,S&P Composite 1500 Health Care
785,S&P Composite 1500 Industrials
786,S&P Composite 1500 Information Technology
787,S&P Composite 1500 Materials
788,S&P Composite 1500 Telecommunication Services
789,S&P Composite 1500 Utilities
790,WisdomTree LargeCap Value
791,Wisdom Tree MidCap earnings
792,S&P 600 Consumer Staples
793,NQ OMX Lighting TR
794,NYSE TRIN
795,NYSE FANG+TM
796,NQ Global Market Composite
797,Nasdaq Factor Dog
798,Nasdaq Emerging Select Leaders
799,Nasdaq Dorsey Wright Peoples Portfolio
800,Nasdaq Developed Select Leaders
801,NQ Composite TR
802,NQ Capital Market Composite
803,Nasdaq BulletShares Investment Grade 7 Year Ladder
804,Nasdaq BulletShares Investment Grade 7 Year Ladder
805,NQ Global Select Market Composite
806,Nasdaq BulletShares Investment Grade 5 Year Ladder
807,Nasdaq BulletShares Investment Grade 3 Year Ladder
808,Nasdaq BulletShares Investment Grade 3 Year Ladder
809,Nasdaq BulletShares High Yield 7 Year Ladder TR
810,Nasdaq BulletShares High Yield 7 Year Ladder
811,Nasdaq BulletShares High Yield 5 Year Ladder TR
